,Name,Age,Email,Country,Salary,DateOfJoining
0,invalid,59.0,ycastro@example.org,Switzerland,44694.24,2022-09-29
1,David Jefferson,21.0,,China,,2021-10-04
2,Jessica Reyes,34.0,,,60511.62,2022-05-24
3,Kenneth Macdonald,68.0,ewolf@example.com,Italy,84223.29,2022-04-07
4,Julie Horne,78.0,,Ecuador,24665.13,2020-06-19
5,Jonathan Holland,26.0,mayercaitlin@example.org,Cameroon,25660.99,2023-05-01
6,James Clark,80.0,ynguyen@example.net,,61345.33,
7,Kimberly Roberts,76.0,lmiller@example.org,Netherlands,58550.56,2023-07-08
8,Barbara Armstrong,22.0,fmitchell@example.com,,,
9,Jason Perez,59.0,collinsedward@example.com,Myanmar,20175.11,2024-04-11
10,Olivia Strong,76.0,schultzpatricia@example.com,South Africa,72362.02,2023-07-27
11,Keith Deleon,56.0,josephwall@example.com,Cocos (Keeling) Islands,23361.13,
12,Kelly Schultz,21.0,,Kiribati,93448.73,2023-07-24
13,Jessica Rivera,73.0,fmitchell@example.net,Central African Republic,71261.36,2021-05-18
14,James Lloyd,53.0,,,,
15,Lauren Becker,30.0,watsonjeffrey@example.net,Malta,invalid,2020-01-13
16,,73.0,johnstonkrista@example.com,Cook Islands,24176.12,2022-10-11
17,,,julia08@example.com,Venezuela,93339.52,2020-11-11
18,Greg Gates,77.0,,,54383.22,2024-05-13
19,Amy Sims,31.0,,Bolivia,51559.83,2023-08-22
20,Dylan Simpson,46.0,jessica74@example.net,Serbia,59670.5,2021-10-31
21,Mark Barber,60.0,davidcook@example.net,,96746.83,2021-02-27
22,John Hicks,30.0,catkins@example.org,Mexico,80906.51,
23,Karen Ward,56.0,daniel47@example.com,Congo,83580.8,2022-04-09
24,Amy Henson,80.0,tylerwatts@example.org,Bosnia and Herzegovina,35390.77,2023-12-11
25,,20.0,,Bouvet Island (Bouvetoya),73892.64,2023-08-26
26,,59.0,amy02@example.net,Anguilla,56583.58,
27,,71.0,gillespiecalvin@example.net,Syrian Arab Republic,71049.67,2020-01-20
28,Ricardo Moody,76.0,xmorales@example.net,Bahrain,83514.58,2024-03-29
29,Stephanie Moss,61.0,qvaughan@example.com,Guernsey,35671.38,2021-11-22
30,Raven Thompson,77.0,brandibarnes@example.com,Korea,76460.86,
31,William Peck,26.0,christopher37@example.org,,42155.66,
32,,57.0,danielperkins@example.org,Barbados,78620.54,2024-05-17
33,Laura Pham,69.0,,Israel,45046.19,2024-04-01
34,David Shields,55.0,brad93@example.net,Burundi,,2023-11-27
35,Rebecca Davis,35.0,wallacejennifer@example.net,Sri Lanka,66871.64,2022-08-06
36,Keith Velazquez,22.0,charles82@example.net,Burkina Faso,81661.97,2024-03-27
37,Christopher Martin,40.0,tina11@example.com,Netherlands Antilles,81367.57,2020-07-30
38,Lindsey York,38.0,,Mexico,97896.77,2022-03-05
39,Lauren Ramos,80.0,tracey07@example.net,Zambia,74110.67,
40,invalid,64.0,mjackson@example.org,British Indian Ocean Territory (Chagos Archipelago),25219.6,2024-02-14
41,Nichole Mora,52.0,turnersarah@example.net,Angola,64674.33,
42,Calvin Herrera,21.0,,China,50975.46,
43,James Davis,invalid,teresa22@example.com,Mauritius,54801.7,2021-07-15
44,Brandi White,35.0,mhall@example.net,Tanzania,21408.87,2020-11-26
45,Melanie Buckley,35.0,,Mali,78258.04,
46,Marissa Williams,18.0,,,46658.98,2020-07-14
47,Matthew Stone,,jessicamoody@example.com,,28874.43,2020-07-06
48,Charles Sanchez,28.0,jenkinsmaria@example.net,Chile,,
49,Amber Mendoza,64.0,qrobinson@example.com,Uganda,47293.85,2021-05-27
50,,33.0,robertsmith@example.net,Nigeria,99405.51,
51,Whitney Graham,40.0,zrodriguez@example.org,Mozambique,98826.59,2023-05-08
52,Patrick Brown PhD,44.0,james16@example.net,Greece,83842.6,2020-07-12
53,Kristin Stewart,70.0,,,73952.9,2021-09-06
54,Julie Kim,77.0,rmorgan@example.net,,46532.6,2021-03-07
55,James Williams,69.0,,Lesotho,84632.67,
56,Melissa Cook,51.0,thompsonhunter@example.org,,52040.14,2022-04-04
57,invalid,19.0,,,36728.76,2021-04-22
58,Dr. Olivia Caldwell MD,76.0,hernandezjason@example.com,Philippines,78453.84,2023-07-19
59,Diane Smith,57.0,david44@example.net,Saint Barthelemy,86579.95,2020-07-27
60,Thomas Navarro,50.0,psnyder@example.org,Turks and Caicos Islands,86286.69,2020-11-03
61,Terri Phillips,27.0,garyanderson@example.net,Cambodia,47755.97,invalid
62,,24.0,katelyn76@example.net,Yemen,61256.89,2020-01-06
63,Wesley Whitaker,47.0,,British Indian Ocean Territory (Chagos Archipelago),97832.79,2020-12-20
64,Andrew Bryant,43.0,jacobtorres@example.com,Colombia,32205.53,2020-10-26
65,,68.0,guyjohnson@example.com,Sudan,80279.35,2022-10-21
66,Karen Peters,58.0,ricelisa@example.net,Yemen,36736.59,
67,,47.0,stephanie20@example.net,Macao,36365.55,
68,Justin Wright,29.0,elizabethreid@example.org,Timor-Leste,28951.24,2020-02-21
69,Michael Oconnell,19.0,fdelacruz@example.org,Grenada,62929.05,2022-01-21
70,Christina Garcia,40.0,kathryn18@example.org,invalid,73916.51,2023-11-13
71,Chase Parker,27.0,,Belgium,28097.5,
72,Morgan Brown,79.0,wsmith@example.org,Cape Verde,28583.22,2021-03-12
73,Mitchell Smith,32.0,spierce@example.com,Armenia,57795.75,2021-04-19
74,Whitney Garcia,70.0,tylergolden@example.com,Netherlands Antilles,68794.39,2022-07-23
75,invalid,,ericnguyen@example.com,Trinidad and Tobago,49670.61,2020-11-22
76,Angela Thompson,73.0,petersonshelby@example.org,Albania,,2023-05-09
