Date,NewName,Age,Email,Country,Salary,Maritial Status,Marital Status,NewAge,Year,Month,Day
2022-09-29,invalid,59,ycastro@example.org,Switzerland,44694.24,Married,Married,59.059.0,2022.0,9.0,29.0
2021-10-04,David Jefferson,21,,China,,Married,Married,21.021.0,2021.0,10.0,4.0
2022-05-24,Jessica Reyes,34,,,60511.62,Married,Married,34.034.0,2022.0,5.0,24.0
2022-04-07,Kenneth Macdonald,68,ewolf@example.com,Italy,84223.29,Married,Married,68.068.0,2022.0,4.0,7.0
2020-06-19,Julie Horne,78,,Ecuador,24665.13,Married,Married,78.078.0,2020.0,6.0,19.0
2023-05-01,Jonathan Holland,26,mayercaitlin@example.org,Cameroon,25660.99,Married,Married,26.026.0,2023.0,5.0,1.0
,James Clark,80,ynguyen@example.net,,61345.33,Married,Married,80.080.0,,,
2023-07-08,Kimberly Roberts,76,lmiller@example.org,Netherlands,58550.56,Married,Married,76.076.0,2023.0,7.0,8.0
,Barbara Armstrong,22,fmitchell@example.com,,,Married,Married,22.022.0,,,
2024-04-11,Jason Perez,59,collinsedward@example.com,Myanmar,20175.11,Married,Married,59.059.0,2024.0,4.0,11.0
2023-07-27,Olivia Strong,76,schultzpatricia@example.com,South Africa,72362.02,Married,Married,76.076.0,2023.0,7.0,27.0
,Keith Deleon,56,josephwall@example.com,Cocos (Keeling) Islands,23361.13,Married,Married,56.056.0,,,
2023-07-24,Kelly Schultz,21,,Kiribati,93448.73,Married,Married,21.021.0,2023.0,7.0,24.0
2021-05-18,Jessica Rivera,73,fmitchell@example.net,Central African Republic,71261.36,Married,Married,73.073.0,2021.0,5.0,18.0
,James Lloyd,53,,,,Married,Married,53.053.0,,,
2020-01-13,Lauren Becker,30,watsonjeffrey@example.net,Malta,invalid,Married,Married,30.030.0,2020.0,1.0,13.0
2022-10-11,,73,johnstonkrista@example.com,Cook Islands,24176.12,Married,Married,73.073.0,2022.0,10.0,11.0
2024-05-13,Greg Gates,77,,,54383.22,Married,Married,77.077.0,2024.0,5.0,13.0
2023-08-22,Amy Sims,31,,Bolivia,51559.83,Married,Married,31.031.0,2023.0,8.0,22.0
2021-10-31,Dylan Simpson,46,jessica74@example.net,Serbia,59670.5,Married,Married,46.046.0,2021.0,10.0,31.0
2021-02-27,Mark Barber,60,davidcook@example.net,,96746.83,Married,Married,60.060.0,2021.0,2.0,27.0
,John Hicks,30,catkins@example.org,Mexico,80906.51,Married,Married,30.030.0,,,
2022-04-09,Karen Ward,56,daniel47@example.com,Congo,83580.8,Married,Married,56.056.0,2022.0,4.0,9.0
2023-12-11,Amy Henson,80,tylerwatts@example.org,Bosnia and Herzegovina,35390.77,Married,Married,80.080.0,2023.0,12.0,11.0
2023-08-26,,20,,Bouvet Island (Bouvetoya),73892.64,Married,Married,20.020.0,2023.0,8.0,26.0
,,59,amy02@example.net,Anguilla,56583.58,Married,Married,59.059.0,,,
2020-01-20,,71,gillespiecalvin@example.net,Syrian Arab Republic,71049.67,Married,Married,71.071.0,2020.0,1.0,20.0
2024-03-29,Ricardo Moody,76,xmorales@example.net,Bahrain,83514.58,Married,Married,76.076.0,2024.0,3.0,29.0
